1	50000	0
0	438319	-792460	0	0	1521863999	0	0	0
1	436835	-797621	100	1521827614	1521856799	20	0	2
2	435829	-797621	-100	1521827614	1521863614	20	1	0
3	436582	-793974	100	1521827614	1521856799	20	0	4
4	435948	-796386	-100	1521827614	1521863614	20	3	0
5	436478	-793794	100	1521827614	1521856799	20	0	6
6	436506	-793794	-100	1521827614	1521863614	20	5	0
7	436816	-793276	100	1521827614	1521856799	20	0	8
8	436648	-794498	-100	1521827614	1521863614	20	7	0
9	437039	-797408	100	1521827614	1521856799	20	0	10
10	436839	-798021	-100	1521827614	1521863614	20	9	0
11	436919	-793530	100	1521827614	1521856799	20	0	12
12	436648	-794498	-100	1521827614	1521863614	20	11	0
13	437678	-792287	100	1521827614	1521856799	20	0	14
14	437920	-791764	-100	1521827614	1521863614	20	13	0
15	436899	-792891	600	1521827614	1521856799	20	0	16
16	436940	-792891	-600	1521827614	1521845614	20	15	0
17	436777	-793410	600	1521827614	1521856799	20	0	18
18	435678	-793410	-600	1521827614	1521845614	20	17	0
19	436446	-797697	600	1521827614	1521856799	20	0	20
20	436996	-797697	-600	1521827614	1521845614	20	19	0
21	433020	-798489	600	1521827614	1521856799	20	0	22
22	435678	-798489	-600	1521827614	1521845614	20	21	0
23	436360	-796224	600	1521827614	1521856799	20	0	24
24	436553	-796224	-600	1521827614	1521845614	20	23	0
25	437051	-796426	200	1521827614	1521856799	20	0	26
26	437952	-796426	-200	1521827614	1521860014	20	25	0
27	437365	-796056	200	1521827614	1521856799	20	0	28
28	436471	-793850	-200	1521827614	1521860014	20	27	0
29	438287	-792318	1000	1521827614	1521856799	20	0	30
30	436965	-792318	-1000	1521827614	1521831214	20	29	0
